Product,Total Revenue,Net Revenue
DOTCOM POSTAGE,206248.77000000008,206245.48000000007
REGENCY CAKESTAND 3 TIER,174484.74000000034,164762.1900000004
"PAPER CRAFT , LITTLE BIRDIE",168469.6,0
WHITE HANGING HEART T-LIGHT HOLDER,106292.76999999827,99668.46999999833
PARTY BUNTING,99504.32999999885,98302.97999999888
JUMBO BAG RED RETROSPOT,94340.05000000115,92356.03000000112
MEDIUM CERAMIC TOP STORAGE JAR,81700.91999999995,4221.279999999997
Manual,78112.81999999995,-68671.64000000009
POSTAGE,78101.88,66230.64
RABBIT NIGHT LIGHT,66964.99000000015,66756.59000000014
PAPER CHAIN KIT 50'S CHRISTMAS,64952.28999999906,63791.93999999906
ASSORTED COLOUR BIRD ORNAMENT,59094.92999999999,58959.72999999998
CHILLI LIGHTS,54117.760000000184,53768.06000000018
SPOTTY BUNTING,42548.129999999845,42065.31999999984
JUMBO BAG PINK POLKADOT,42436.24000000028,41619.66000000028
BLACK RECORD COVER FRAME,40652.13000000008,40596.96000000008
PICNIC BASKET WICKER 60 PIECES,39619.5,39619.5
DOORMAT KEEP CALM AND COME IN,38166.639999999745,36565.389999999745
SET OF 3 CAKE TINS PANTRY DESIGN,38158.390000000305,37413.440000000286
JAM MAKING SET WITH JARS,37128.88,36116.09
